cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6
,-92029879#2,,,,,
,89825903#4,,,,,
,98883477#5,,,,,
,89881854#0,,,,,
,-531417291#0,,,,,
,199311794#16,,,,,
,-89881819,,,,,
,43991629#1,,,,,
,89831418#1,,,,,
,395264631#2,,,,,
,759797589#1,,,,,
,395264626#0,,,,,
,89881845#0,,,,,
,91689528#1,,,,,
,-395264626#6,,,,,
,89823562#1,,,,,
,592386073#1,,,,,
,30931326,,,,,
,265225082,,,,,
,-89823541,,,,,
,705001281,,,,,
,199311794#15,,,,,
,23363176#1,,,,,
,-503056678#0,,,,,
,89929096#0,,,,,
,99510466#2,,,,,
,-89825914#4,,,,,
,-166180319,,,,,
,-265221586#4,,,,,
,27916859#7,,,,,
,92034761#0,,,,,
,-395264639#1,,,,,
,89823562#0,,,,,
,89828176#0,,,,,
,231439986#0,,,,,
,586176997#2,,,,,
,89881854#3,,,,,
,89881836#3,,,,,
,89823555#2,,,,,
,589240682,,,,,
,237393909#1,,,,,
,43699315#11,,,,,
,543019007#0,,,,,
,-77100175#0,,,,,
,89831417#2,,,,,
,314205672#6,,,,,
,89881841#1,,,,,
,-683459298#0,,,,,
,89939060,,,,,
,89823564#1,,,,,
,199311779#19,,,,,
,945962606#2,,,,,
,23995046,,,,,
,-89825914#20,,,,,
,-31050856#2,,,,,
,438132738#0,,,,,
,89934436#1,,,,,
,-199311779#7,,,,,
,-736550490#5,,,,,
,-591995053#0,,,,,
,-579331696,,,,,
,-89828168,,,,,
,381697486#4,,,,,
,199311779#0,,,,,
,-395264637#1,,,,,
,543019008#1,,,,,
,89881845#2,,,,,
,395264623#5,,,,,
,37672006#6,,,,,
,231524291#3,,,,,
,19922745#11,,,,,
,561014433,,,,,
,-395264639#2,,,,,
,89825910#0,,,,,
,579331698#0,,,,,
,589249428#0,,,,,
,156938659#5,,,,,
,-579417817#1,,,,,
,91686849#3,,,,,
,438137485#0,,,,,
,-22720676#8,,,,,
,231524291#2,,,,,
,89046669#8,,,,,
,772804657#0,,,,,
,89822310#1,,,,,
,27916859#12,,,,,
,-512189144,,,,,
,-581537566,,,,,
,-314205672#5,,,,,
,-1024849137,,,,,
,89822307#1,,,,,
,542927921#0,,,,,
,-91689528#10,,,,,
,27916859#16,,,,,
,395264620#8,,,,,
,91006341#1,,,,,
,89934444#0,,,,,
,22720676#4,,,,,
,89828155#0,,,,,
,91006343#1,,,,,
,91730169#2,,,,,
,395264626#5,,,,,
,395264632#0,,,,,
,-89828174#1,,,,,
,99510466#0,,,,,
,381697488#0,,,,,
,-591995053#1,,,,,
,314205672#1,,,,,
,395264628#5,,,,,
,-292495147,,,,,
,23994706#8,,,,,
,-91689528#12,,,,,
,583258514,,,,,
,89934509#3,,,,,
,314054616#1,,,,,
,381697487#3,,,,,
,89929109#0,,,,,
,-89822295,,,,,
,587259249#3,,,,,
,89934511#3,,,,,
,-597398401,,,,,
,395264607#4,,,,,
,89881832#1,,,,,
,436048944#0,,,,,
,89823547#2,,,,,
,166276326,,,,,
,89823552#0,,,,,
,772804655#3,,,,,
,1126144531#0,,,,,
,683458164#0,,,,,
,199311779#24,,,,,
,44776183#1,,,,,
,395264606#0,,,,,
,-265221590,,,,,
,89881815#1,,,,,
,395264619#3,,,,,
,198164114,,,,,
,89825903#9,,,,,
,44776176#8,,,,,
,236667129#7,,,,,
,182234686#0,,,,,
,-54680197,,,,,
,-54680194#2,,,,,
,173185148#6,,,,,
,-58686903#6,,,,,
,-91008672#12,,,,,
,682270676,,,,,
,683457664#0,,,,,
,238153162#0,,,,,
,34996350#1,,,,,
,160733175#0,,,,,
,1126144529,,,,,
,126855578#0,,,,,
,-32837821#3,,,,,
,32837821#0,,,,,
,58686905#0,,,,,
,54680197,,,,,
,54680194#0,,,,,
,34996350#0,,,,,
,23443532#0,,,,,
,587870652,,,,,
,58686903#0,,,,,
,91008672#11,,,,,
,381697489#0,,,,,
,-126855578#0,,,,,
,1126151010#1,,,,,
,-32837821#1,,,,,
,-34996350#0,,,,,
,-23443532#2,,,,,
,-587870652,,,,,
,236999710,,,,,
,160733175#4,,,,,
,683457663#0,,,,,
,-91008672#15,,,,,
,32837821#2,,,,,
,91008672#4,,,,,
,173185148#0,,,,,
,193267476#0,,,,,
,91008672#0,,,,,
,193267476#14,,,,,
,173185153#4,,,,,
,-91008672#7,,,,,
,173185148#3,,,,,
,173185152#1,,,,,
,126855578#1,,,,,
,-91008672#2,,,,,
,1126151010#0,,,,,
,91008672#13,,,,,
,91008672#9,,,,,
,682272135#0,,,,,
,173185153#1,,,,,
,1061617399#0,,,,,
,-126855578#3,,,,,
,-91899428,,,,,
,724813381,,,,,
,193267476#10,,,,,
,-91008672#10,,,,,
,682270675,,,,,
,58686905#3,,,,,
,1126151009,,,,,
,26457335#0,,,,,
,-34996350#1,,,,,
,238153162#6,,,,,
,91899428,,,,,
,-148642772#1,,,,,
,157058382#1,,,,,
,-43097008#7,,,,,
,135838552#8,,,,,
,136228820#5,,,,,
,-43100782#1,,,,,
,304727835#1,,,,,
,30952224#6,,,,,
,196629583#0,,,,,
,43322798#8,,,,,
,135838552#4,,,,,
,135838553#5,,,,,
,1062056472#3,,,,,
,31047306#3,,,,,
,98593790#0,,,,,
,436042882#2,,,,,
,1024102271,,,,,
,319196848#0,,,,,
,-154722999,,,,,
,136228820#0,,,,,
,436042879#0,,,,,
,-706102496#3,,,,,
,-99702521#2,,,,,
,1024120792#0,,,,,
,148642793#1,,,,,
,70610410#1,,,,,
,53542680#5,,,,,
,114496998#1,,,,,
,154819659,,,,,
,312195000#0,,,,,
,706096498#0,,,,,
,70324971#2,,,,,
,196629589#2,,,,,
,-810145521,,,,,
,706096498#1,,,,,
,-154723062#1,,,,,
,196629589#3,,,,,
,1009087387,,,,,
,-1284307159#1,,,,,
,157366892#2,,,,,
,70509855#2,,,,,
,-91899427#5,,,,,
,154819636#2,,,,,
,51843919#9,,,,,
,98593775#2,,,,,
,-148642793#0,,,,,
,-154819598#0,,,,,
,148642780,,,,,
,-319196848#11,,,,,
,-42305099#0,,,,,
,-27727791#12,,,,,
,436042882#1,,,,,
,31047303#5,,,,,
,148642784#1,,,,,
,157050773#0,,,,,
,-150349479,,,,,
,70509858#1,,,,,
,-31297782#2,,,,,
,319196855#3,,,,,
,-43322798#7,,,,,
,-98593790#2,,,,,
,256511169#1,,,,,
,429967547,,,,,
,878619654,,,,,
,-148642794#0,,,,,
,127518238,,,,,
,-98593794#1,,,,,
,31297682#5,,,,,
,-152185714,,,,,
,-1024120799#1,,,,,
,1023908217#1,,,,,
,436042880#10,,,,,
,-30919189#1,,,,,
,-1055857400,,,,,
,956136645#4,,,,,
,817841031#1,,,,,
,154971172#0,,,,,
,98593790#1,,,,,
,-199311778#8,,,,,
,43051364#2,,,,,
,-155035368,,,,,
,96828486#6,,,,,
,312195003#3,,,,,
,-156942465#4,,,,,
,-436048954#1,,,,,
,-70610406#2,,,,,
,71281737,,,,,
,-56240930#1,,,,,
,-43680742#0,,,,,
,1258451873#1,,,,,
,960810620#0,,,,,
,51843919#7,,,,,
,-126859160#0,,,,,
,319185011#1,,,,,
,193809619,,,,,
,1024128479,,,,,
,58686258#0,,,,,
,-30949704#2,,,,,
,55886812#2,,,,,
,157058468#1,,,,,
,-30949704#1,,,,,
,148642782#2,,,,,
,312195002#0,,,,,
,31047306#2,,,,,
,492041970#3,,,,,
,31047303#8,,,,,
,319185011#2,,,,,
,1024120796#1,,,,,
,-98593814#1,,,,,
,-30952224#5,,,,,
,-153792698#1,,,,,
,103751347#6,,,,,
,-55886807,,,,,
,-57889595#2,,,,,
,70330617#4,,,,,
,46655805#1,,,,,
,70330617#1,,,,,
,-158177940#5,,,,,
,312195005#3,,,,,
,70509860#2,,,,,
,127518234,,,,,
,1055855908,,,,,
,-152185736#0,,,,,
,157058455#7,,,,,
,648488816#4,,,,,
,-43051364#5,,,,,
,464084177#0,,,,,
,669098840#1,,,,,
,156575070#0,,,,,
,290874174#6,,,,,
,70324971#1,,,,,
,43322798#6,,,,,
,157058457#0,,,,,
,43097008#11,,,,,
,-31297682#7,,,,,
,43100783#0,,,,,
,-158177940#6,,,,,
,156942446,,,,,
,-136228820#6,,,,,
,492041970#1,,,,,
,-43322798#2,,,,,
,1055857401#1,,,,,
,56240964#0,,,,,
,1257133852#1,,,,,
,312195005#7,,,,,
,-98593749#1,,,,,
,114496998#0,,,,,
,135838552#7,,,,,
,156942465#7,,,,,
,98320321,,,,,
,-43322798#8,,,,,
,-135838553#5,,,,,
,70610406#0,,,,,
,71359525#0,,,,,
,-30948680#4,,,,,
,-1024102271,,,,,
,1024115417,,,,,
,98593741#0,,,,,
,-319196848#1,,,,,
,-136228820#2,,,,,
,98593757,,,,,
,43680741#1,,,,,
,-148642793#1,,,,,
,1284307157,,,,,
,-114496998#1,,,,,
,157058455#1,,,,,
,319197093#2,,,,,
,-154819659,,,,,
,31047303#0,,,,,
,956136645#0,,,,,
,-70324971#3,,,,,
,-31297782#1,,,,,
,43051364#0,,,,,
,-196629130,,,,,
,878619659#0-AddedOnRampEdge,,,,,
,98593789#1,,,,,
,1024128477#0,,,,,
,51843919#1,,,,,
,156942465#5,,,,,
,-31297682#0,,,,,
,1024128472#0,,,,,
,-98593775#2,,,,,
,135838553#1,,,,,
,-150349482#1,,,,,
,-148642780,,,,,
,-41527657#0,,,,,
,156938653,,,,,
,98593775#1,,,,,
,55886806#0,,,,,
,152185706#0,,,,,
,-135838553#0,,,,,
,817841031#0,,,,,
,-157050773#1,,,,,
,1284303462#1,,,,,
,-70509858#1,,,,,
,1024125610#0,,,,,
,436048947#10,,,,,
,148642782#0,,,,,
,98320323,,,,,
,127518236#0,,,,,
,70509855#0,,,,,
,70509861#0,,,,,
,-127518238,,,,,
,-31297682#6,,,,,
,148642797#1,,,,,
,148642782#3,,,,,
,43051364#6,,,,,
,-31297551#1,,,,,
,-150349482#2,,,,,
,-43051364#2,,,,,
,70610410#0,,,,,
,135838438#1,,,,,
,-43101595#0,,,,,
,126859159#1,,,,,
,-71281733#0,,,,,
,-30949727,,,,,
,156942465#8,,,,,
,103751347#13,,,,,
,154027639,,,,,
,464084177#11,,,,,
,-319185011#1,,,,,
,127518258,,,,,
,-98593737#1,,,,,
,-148642782#2,,,,,
,464084172#7,,,,,
,-98593749#2,,,,,
,-319185011#3,,,,,
,-30952224#0,,,,,
,154027661#1,,,,,
,-58686246,,,,,
,-31297682#4,,,,,
,30950818#0,,,,,
,-71281733#2,,,,,
,98593764#3,,,,,
,-148642781#0,,,,,
,58686258#3,,,,,
,-43099711#0,,,,,
,-1273185318#1,,,,,
,156575077#6,,,,,
,1024115418,,,,,
,-1024102270#1,,,,,
,53542680#1,,,,,
,-518647368,,,,,
,-30948680#2,,,,,
,174653382#1,,,,,
,-70324971#1,,,,,
,1023908217#2,,,,,
,31047303#12,,,,,
,-43322798#6,,,,,
,1256858472#1,,,,,
,312195005#5,,,,,
,759086770#3,,,,,
,154971175#0,,,,,
,31047306#4,,,,,
,243206488#0,,,,,
,148642782#1,,,,,
,91689539,,,,,
,-156942465#0,,,,,
,-158808588,,,,,
,1023912412,,,,,
,156575077#2,,,,,
,-91689534,,,,,
,1056397447,,,,,
,-114496998#0,,,,,
,-436048957#1,,,,,
,-436048951#2,,,,,
,314088440#6,,,,,
,70509858#0,,,,,
,126855548,,,,,
,-1258453171#1,,,,,
,174653382#0,,,,,
,772804660#0,,,,,
,304727821#0,,,,,
,1023908217#0,,,,,
,436042880#14,,,,,
,27727758#4,,,,,
,173185144#1,,,,,
,98593799#1,,,,,
,-43680733,,,,,
,-98593789#2,,,,,
,319196848#2,,,,,
,154971188,,,,,
,-98593757,,,,,
,-43680741#2,,,,,
,99702562#3,,,,,
,126859160#1,,,,,
,-27727791#8,,,,,
,70324974#1,,,,,
,-30952224#9,,,,,
,157058468#2,,,,,
,148642768,,,,,
,126859160#2,,,,,
,43699319#0,,,,,
,314088440#4,,,,,
,30950818#5,,,,,
,157360310,,,,,
,70509858#3,,,,,
,70330619#2,,,,,
,153792698#0,,,,,
,1024128476#0,,,,,
,31297738#2,,,,,
,43322645#1,,,,,
,1257133852#0,,,,,
,436042880#2,,,,,
,312195000#3,,,,,
,148642772#1,,,,,
,156575080#1,,,,,
,1056781891#1,,,,,
,1257133853,,,,,
,43100782#0,,,,,
,156575068#3,,,,,
,-30949704#0,,,,,
,-706102508,,,,,
,-158177940#2,,,,,
,-30919469#1,,,,,
,-436048949#3,,,,,
,-98593775#1,,,,,
,-304727814#2,,,,,
,-152185706#0,,,,,
,-98593737#2,,,,,
,158177939,,,,,
,-1284303462#1,,,,,
,-30948214#3,,,,,
,43322798#1,,,,,
,-91899427#1,,,,,
,152185720,,,,,
,648488815#4,,,,,
,304727835#0,,,,,
,71366316#1,,,,,
,706102496#3,,,,,
,960810619#0,,,,,
,1024120793#0,,,,,
,-127518236#0,,,,,
,-43051364#1,,,,,
,260425589,,,,,
,-31297682#3,,,,,
,23243743#3,,,,,
,810145521,,,,,
,51843919#5,,,,,
,154723062#1,,,,,
,157050775,,,,,
,-148642770,,,,,
,669098840#2,,,,,
,-314088440#2,,,,,
,1284307159#0,,,,,
,70509860#0,,,,,
,-56241383,,,,,
,31047303#1,,,,,
,-70610410#0,,,,,
,154027538,,,,,
,148642793#0,,,,,
,-154971175#3,,,,,
,43100782#5,,,,,
,-126859159#2,,,,,
,154819598#0,,,,,
,51843919#0,,,,,
,-30948680#3,,,,,
,156575077#1,,,,,
,319196848#11,,,,,
,-157366896#4,,,,,
,157058457#1,,,,,
,-127518258,,,,,
,464084177#7,,,,,
,42305097#0,,,,,
,156942442#0,,,,,
,436042880#12,,,,,
,150349479,,,,,
,156575066#1,,,,,
,-70509859#0,,,,,
,31297782#2,,,,,
,-57889595#0,,,,,
,312195002#3,,,,,
,-114496998#2,,,,,
,1284307158,,,,,
,312195005#0,,,,,
,31297738#0,,,,,
,148642794#0,,,,,
,319185011#0,,,,,
,98593794#0,,,,,
,152185714,,,,,
,154458450#0,,,,,
,1024120799#0,,,,,
,436048947#0,,,,,
,1055855909,,,,,
,154819743#1,,,,,
,30919189#1,,,,,
,70324971#5,,,,,
,-99702562#1,,,,,
,51843919#11,,,,,
,464084172#9,,,,,
,312194996#1,,,,,
,1055857400,,,,,
,59262037#5,,,,,
,55943333#1,,,,,
,198929895#2,,,,,
,156575077#4,,,,,
,878619666#0,,,,,
,199311778#8,,,,,
,-154971175#1,,,,,
,1011347580#2,,,,,
,70610406#2,,,,,
,436042880#8,,,,,
,436042884,,,,,
,1024120796#2,,,,,
,154819713,,,,,
,114496980#0,,,,,
,126859160#0,,,,,
,30919524,,,,,
,155046189,,,,,
,30949704#2,,,,,
,30949704#1,,,,,
,154082984#4,,,,,
,148642793#3,,,,,
,43100782#3,,,,,
,148642796#5,,,,,
,154082986#1,,,,,
,98593814#1,,,,,
,372443876#4,,,,,
,-70509858#0,,,,,
,30952224#5,,,,,
,153792698#1,,,,,
,43051364#3,,,,,
,286703485,,,,,
,-1023908217#0,,,,,
,98593807,,,,,
,-173185144#1,,,,,
,158177940#5,,,,,
,-1258451874#2,,,,,
,1023908216#0,,,,,
,1056779413#0,,,,,
,152185736#0,,,,,
,62332141#1,,,,,
,-126859160#1,,,,,
,43051364#5,,,,,
,30950818#2,,,,,
,1024128478#1,,,,,
,156938673#1,,,,,
,-148642787#2,,,,,
,23243743#1-AddedOnRampEdge,,,,,
,-126859160#3,,,,,
,156575056#4,,,,,
,30952224#1,,,,,
,-157360310,,,,,
,-70509858#3,,,,,
,153792684#0,,,,,
,-43322645#2,,,,,
,158177940#6,,,,,
,-120531314#2,,,,,
,464084177#1,,,,,
,960810632,,,,,
,98593764#5,,,,,
,-156575080#1,,,,,
,158808588,,,,,
,43322798#2,,,,,
,30948214#1,,,,,
,1024125610#2,,,,,
,98593749#1,,,,,
,960810622,,,,,
,526781973#0,,,,,
,153792689#2,,,,,
,148642781#1,,,,,
,-30948214#0,,,,,
,-126859161#1,,,,,
,30948680#4,,,,,
,-43322798#1,,,,,
,-1024128471#1,,,,,
,23243743#1,,,,,
,-152185720,,,,,
,319196854#0,,,,,
,-43097008#8,,,,,
,199311767#3,,,,,
,-152185736#1,,,,,
,-150349482#0,,,,,
,51843919#12,,,,,
,103751347#12,,,,,
,98593741#1,,,,,
,31297782#0,,,,,
,464084172#8,,,,,
,-43097008#9,,,,,
,154971175#4,,,,,
,196629130,,,,,
,312195005#6,,,,,
,42305097#4,,,,,
,103751347#5,,,,,
,31297682#0,,,,,
,120531314#4,,,,,
,156575070#5,,,,,
,-43100782#7,,,,,
,150349482#1,,,,,
,41527657#0,,,,,
,43724391#0,,,,,
,27727758#0,,,,,
,648488815#0-AddedOnRampEdge,,,,,
,157366896#0,,,,,
,71366317#0,,,,,
,-70509857#1,,,,,
,-157058457#1,,,,,
,-135838552#0,,,,,
,157366892#3,,,,,
,-156942442#2,,,,,
,1258453170,,,,,
,1257133855#0,,,,,
,98593737#3,,,,,
,-55886805#4,,,,,
,156938654#4,,,,,
,-126855563#1,,,,,
,-1284307158,,,,,
,156575077#8,,,,,
,-154819598#1,,,,,
,-31297738#0,,,,,
,1257133851#0,,,,,
,-319185011#0,,,,,
,878619655#1,,,,,
,154458450#4,,,,,
,120531314#1,,,,,
,126859159#0,,,,,
,158177940#7,,,,,
,43724405,,,,,
,154458450#3,,,,,
,154084101#0,,,,,
,-1258451874#1,,,,,
,31297551#1,,,,,
,150349482#2,,,,,
,-156942465#2,,,,,
,-1284303462#0,,,,,
,43101595#0,,,,,
,98593749#3,,,,,
,-126859163#1,,,,,
,304727921,,,,,
,30949727,,,,,
,-1024120796#3,,,,,
,154082984#0,,,,,
,-154819713,,,,,
,-30919524,,,,,
,154082984#4-AddedOffRampEdge,,,,,
,98593737#0,,,,,
,-43100782#4,,,,,
,-148642793#3,,,,,
,-126855579,,,,,
,1055855907,,,,,
,98593749#2,,,,,
,-148642796#6,,,,,
,58070987,,,,,
,30952224#0,,,,,
,148642777#0,,,,,
,58686246,,,,,
,31297682#4,,,,,
,-43051364#3,,,,,
,71281733#1,,,,,
,1023600527#0,,,,,
,148642781#0,,,,,
,1273185319,,,,,
,-1023908216#0,,,,,
,31297738#3,,,,,
,1273185318#2,,,,,
,1024102270#1,,,,,
,156942465#1,,,,,
,148642769,,,,,
,518647368,,,,,
,30948680#2,,,,,
,55949732#1,,,,,
,43100782#2,,,,,
,1056397449,,,,,
,-135838552#3,,,,,
,1237946796#1,,,,,
,-43101595#2,,,,,
,135838552#5,,,,,
,42305097#2,,,,,
,148642796#2,,,,,
,-30952224#1,,,,,
,98320320,,,,,
,154458437,,,,,
,-153792684#2,,,,,
,-1023912413#1,,,,,
,312194999#3,,,,,
,30946041,,,,,
,1186502809#0,,,,,
,-41527657#3,,,,,
,1067778049,,,,,
,158806764,,,,,
,135838438#2,,,,,
,-30948214#1,,,,,
,30947123#2,,,,,
,648488816#6,,,,,
,436048957#0,,,,,
,70330618,,,,,
,436048951#0,,,,,
,99702521#0,,,,,
,1258453171#1,,,,,
,-526781973#0,,,,,
,-153792689#2,,,,,
,-148642781#1,,,,,
,-319196848#13,,,,,
,198929893#3,,,,,
,55886812#0,,,,,
,381697485#0,,,,,
,-70610406#1,,,,,
,43680733,,,,,
,62332142#1,,,,,
,98593789#2,,,,,
,198929895#0,,,,,
,76187053#1,,,,,
,-1024102266,,,,,
,157366892#0,,,,,
,71366317#9,,,,,
,27727791#7,,,,,
,956136645#1,,,,,
,-31297738#7,,,,,
,30952224#8,,,,,
,312195005#9,,,,,
,648488815#0,,,,,
,-43680741#0,,,,,
,-319196848#8,,,,,
,-154971175#5,,,,,
,-99702521#3,,,,,
,1186502809#2,,,,,
,71281735#2,,,,,
,156575077#3,,,,,
,-41527657#2,,,,,
,436048947#9,,,,,
,-120531314#4,,,,,
,-1024115416,,,,,
,-31297682#9,,,,,
,-199311778#2,,,,,
,-157366896#1,,,,,
,27727791#4,,,,,
,199311765#6,,,,,
,98593764#0,,,,,
,30949704#0,,,,,
,154458468,,,,,
,706102508,,,,,
,158177940#2,,,,,
,43097008#1,,,,,
,30919469#0,,,,,
,436048949#2,,,,,
,304727814#1,,,,,
,-154824101#0,,,,,
,-1258453170,,,,,
,98593737#2,,,,,
,154819636#0,,,,,
,103751347#10,,,,,
,-57889595#3,,,,,
,-55670063#0,,,,,
,30948214#3,,,,,
,1284308176,,,,,
,126855545,,,,,
,319196855#2,,,,,
,154027557#1,,,,,
,43051364#1,,,,,
,706102496#2,,,,,
,31297682#1,,,,,
,319197093#0,,,,,
,260425575#1,,,,,
,98593789#0,,,,,
,156575077#5,,,,,
,-56240930#0,,,,,
,-120531314#1,,,,,
,-126859159#0,,,,,
,-158177940#7,,,,,
,1055857388,,,,,
,148642770,,,,,
,154458464,,,,,
,314088440#2,,,,,
,56241383,,,,,
,98593775#0,,,,,
,1023600527#2,,,,,
,154971175#2,,,,,
,-1024100296,,,,,
,-98593749#3,,,,,
,43680742#3,,,,,
,30948680#3,,,,,
,312195005#8,,,,,
,1257133851#2,,,,,
,157366896#2,,,,,
,-43099711#3,,,,,
,-43680742#2,,,,,
,1011347576#0,,,,,
,-1055857401#0,,,,,
,-58070987,,,,,
,96828486#1,,,,,
,198929893#2,,,,,
,-148642777#0,,,,,
,70353937#2,,,,,
,-148642796#0,,,,,
,148642771#1,,,,,
,-58686248#1,,,,,
,70509859#0,,,,,
,156575070#3,,,,,
,199311764#0,,,,,
,57889595#0,,,,,
,198929895#1,,,,,
,44308179,,,,,
,114496998#2,,,,,
,-43101595#5,,,,,
,-960810617,,,,,
,-31297738#5,,,,,
,198929893#4,,,,,
,-1273185318#3,,,,,
,55670063#1,,,,,
,1024125610#1,,,,,
,71359525#2,,,,,
,-156942465#1,,,,,
,312194999#1,,,,,
,1258451875#0,,,,,
,-148642769,,,,,
,-135838552#1,,,,,
,99702562#0,,,,,
,-1024120794#1,,,,,
,58686258#4,,,,,
,154458450#1,,,,,
,-43100782#2,,,,,
,-135838552#5,,,,,
,199311767#0,,,,,
,-148642796#3,,,,,
,31047303#6,,,,,
,956136646#1,,,,,
,436048947#2,,,,,
,154027637#0,,,,,
,-157366894,,,,,
,-43322650#2,,,,,
,372443876#7,,,,,
,30956014#0,,,,,
,1257133857,,,,,
,436048949#0,,,,,
,436042882#0,,,,,
,148642787#0,,,,,
,43097008#4,,,,,
,-99702521#0,,,,,
,103751347#9,,,,,
,154027637#1,,,,,
,96828486#5,,,,,
,1258451874#3,,,,,
,120531314#3,,,,,
,-381697485#0,,,,,
,1258451874#2,,,,,
,-1055855910,,,,,
,-43097008#3,,,,,
,-76187053#1,,,,,
,960810628,,,,,
,304727814#3,,,,,
,-290874174#5,,,,,
,199311765#0,,,,,
,436042880#5,,,,,
,135838552#6,,,,,
,772804658#0,,,,,
,436042879#1,,,,,
,1023600527#3,,,,,
,-706102496#0,,,,,
,312195003#4,,,,,
,-148642777#1,,,,,
,-43097008#6,,,,,
,1011347575,,,,,
,148642787#2,,,,,
,759086770#0,,,,,
,464084177#8,,,,,
,-71281735#3,,,,,
,70330619#1,,,,,
,58064598#0,,,,,
,59262037#0,,,,,
,120531314#2,,,,,
,43322798#3,,,,,
,-156942465#3,,,,,
,878619655#0,,,,,
,154082984#1,,,,,
,-27727791#6,,,,,
,154458459,,,,,
,464084172#6,,,,,
,199311778#6,,,,,
,-43097008#1,,,,,
,154027661#0,,,,,
,-120531314#0,,,,,
,464084172#4,,,,,
,-154819636#1,,,,,
,-173185145#5,,,,,
,-148642787#1,,,,,
,30948214#0,,,,,
,-30919189#0,,,,,
,126859161#1,,,,,
,-30952224#2,,,,,
,70509860#1,,,,,
,1024128471#0,,,,,
,30919189#2,,,,,
,173185147#1,,,,,
,1062056472#2,,,,,
,126859151,,,,,
,43097008#8,,,,,
,114496981#0,,,,,
,286703476#0,,,,,
,-706102496#2,,,,,
,152185736#1,,,,,
,150349482#0,,,,,
,-319197093#1,,,,,
,-57872683#0,,,,,
,-98593789#0,,,,,
,199311765#3,,,,,
,158177940#1,,,,,
,43097008#9,,,,,
,31047303#2,,,,,
,43097008#0,,,,,
,157058468#3,,,,,
,148642784#3,,,,,
,155035384,,,,,
,55886812#1,,,,,
,-98593775#0,,,,,
,878619659#0,,,,,
,-1024100281,,,,,
,30948214#2,,,,,
,-43680742#3,,,,,
,70509857#1,,,,,
,148642784#2,,,,,
,-154723062#0,,,,,
,135838551,,,,,
,-127518255,,,,,
,148642797#0,,,,,
,956136645#5,,,,,
,43680742#1,,,,,
,-148642771#1,,,,,
,126855563#0,,,,,
,199311778#3,,,,,
,-1126340239#2,,,,,
,-70509858#2,,,,,
,43724393#0,,,,,
,55886808,,,,,
,464084177#3,,,,,
,157058455#11,,,,,
,98593793#0,,,,,
,-31297738#1,,,,,
,154819598#1,,,,,
,70509855#3,,,,,
,464084177#6,,,,,
,-71284538,,,,,
,648488815#1,,,,,
,648488815#2,,,,,
,114496980#8,,,,,
,464084181#3,,,,,
,436048957#2,,,,,
,436042880#3,,,,,
,-43322645#3,,,,,
,1023908212#0,,,,,
,-436042881#2,,,,,
,156942465#2,,,,,
,156575075#1,,,,,
,1284303462#0,,,,,
,98593753,,,,,
,126859163#1,,,,,
,1011347581,,,,,
,-154027637#0,,,,,
,98593820,,,,,
,43099711#3,,,,,
,-152185706#1,,,,,
,98593775#3,,,,,
,-793145062,,,,,
,-148642788#1,,,,,
,31297551#2,,,,,
,-436048949#0,,,,,
,126855579,,,,,
,-148642787#0,,,,,
,-43097008#5,,,,,
,156575070#2,,,,,
,-43321686#1,,,,,
,-148642793#2,,,,,
,114496980#4,,,,,
,-878619657,,,,,
,103751347#4,,,,,
,-154027637#1,,,,,
,-1258451874#3,,,,,
,-120531314#3,,,,,
,70509855#4,,,,,
,154082984#5,,,,,
,70330619#3,,,,,
,-304727814#4,,,,,
,1010964742,,,,,
,30948680#1,,,,,
,-148642771#3,,,,,
,59262037#4,,,,,
,759086770#4,,,,,
,156575105#0,,,,,
,198929894#0,,,,,
,-135838552#6,,,,,
,135838552#3,,,,,
,1257133850#0,,,,,
,43101595#1,,,,,
,98593775#4,,,,,
,43322798#5,,,,,
,-71361922,,,,,
,-58064598#1,,,,,
,1023912413#0,,,,,
,55887208,,,,,
,-43322798#3,,,,,
,41527657#3,,,,,
,126859148#0,,,,,
,1265530081#0,,,,,
,312195003#2,,,,,
,31047303#3,,,,,
,-43097008#2,,,,,
,-199311778#7,,,,,
,27727791#1,,,,,
,-1024102268,,,,,
,-154027661#0,,,,,
,96828486#2,,,,,
,-98593736#3,,,,,
,114496980#7,,,,,
,319196848#12,,,,,
,156938673#0,,,,,
,99702562#2,,,,,
,-31297738#9,,,,,
,397645478,,,,,
,878619655#2,,,,,
,120531314#5,,,,,
,70610406#1,,,,,
,1024102266,,,,,
,-1024102269,,,,,
,1062056471#0,,,,,
,-126859163#0,,,,,
,156575070#6,,,,,
,-91899427#4,,,,,
,31297738#6,,,,,
,-71359527#3,,,,,
,-1024120796#0,,,,,
,98593799#0,,,,,
,-158177940#1,,,,,
,-30952224#3,,,,,
,56240964#2,,,,,
,319196848#8,,,,,
,-148642772#0,,,,,
,99702521#3,,,,,
,-304727814#0,,,,,
,98593803#1,,,,,
,-43097008#0,,,,,
,-28050206,,,,,
,41527657#2,,,,,
,-266525226#0,,,,,
,41184057,,,,,
,-30948214#2,,,,,
,1024120795#0,,,,,
,31297682#8,,,,,
,199311778#0,,,,,
,-148642784#2,,,,,
,-173185144#0,,,,,
,47036733,,,,,
,-71281735#1,,,,,
,-148642797#0,,,,,
,154824101#0,,,,,
,53542680#3,,,,,
,57889595#3,,,,,
