origin,destination,time,dest_alt1,dest_alt2,dest_alt3,value
6,2,44860.74396791121,999999,2,0,1
6,4,44868.14984357234,999999,3,1,1
1,6,44868.39273704087,999999,3,0,1
4,1,44868.39273704087,999999,1,6,1
5,2,44868.39273704087,999999,1,8,1
5,5,44872.14891374632,3,999999,6,1
8,5,44872.14891374632,999999,1,2,1
5,5,44873.88835277444,999999,6,8,1
6,2,44873.88835277444,5,1,999999,1
6,6,44873.88835277444,3,999999,5,1
8,2,44875.18498070663,999999,4,4,1
5,6,44875.818051575625,999999,6,3,1
6,3,44875.818051575625,8,999999,4,1
5,4,44878.51431282743,999999,1,6,1
5,5,44878.51431282743,999999,2,3,1
6,3,44878.51431282743,6,999999,8,1
